Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
6.927164714787697,12.73400253028698,1.7558222848270344,0.09877670041284428,0.3659029196921511,0.4521484750713862,3.892483486,1.5828277691927795e-9,-1.5828277691927795e-9,49.84383413476031,1
7.58124530093257,12.452284642337693,1.0430365495065732,0.10872593061997081,0.37219550331030676,0.4721428729669597,3.97301733,1.584183353400891e-9,-1.584183353400891e-9,45.21634676043353,2
7.728632502169396,12.460836004540788,0.722142763815786,0.12367703095076046,0.37527264951305,0.4934538850490072,4.404666059,1.5852166811941896e-9,-1.5852166811941896e-9,40.720753433187106,3
7.90416680852399,12.372807669360782,0.5520912864628605,0.14537098068457865,0.3775148703445578,0.5085953283099387,4.530259663,1.5859124326879877e-9,-1.5859124326879877e-9,36.4755446153975,4
7.8456080574097,12.388703860114566,0.6197062817020106,0.17709845145083528,0.3828388209103084,0.514008574462896,5.036884463,1.5865920552021184e-9,-1.5865920552021184e-9,32.1596036028326,5
7.730844536871433,12.464438628621036,0.7094965144042793,0.22640250947384602,0.3901432342340178,0.5223404105854832,5.738301168,1.5859944033690768e-9,-1.5859944033690768e-9,27.662689215675602,6
8.542761279310838,11.57342612692732,0.8532587770512563,0.3324679493333539,0.40726313392013175,0.5317033646959203,6.656826109,1.047761633679068,1.8145359586263556,24.78355761044761,7
10.032165461090802,10.048344468001897,1.3479798326276644,0.41092557703770877,0.38880153532686634,0.5880188184238344,9.947372637,1.5596399284492062,9.086204638097973,24.768187553888055,8
12.573052453431057,7.768317597588789,1.5473586271799575,0.4633865402390463,0.37014735196345966,0.5856232742354169,9.784426994,2.3262747146346836,15.267648548138583,29.33268566694228,9
17.216582184847542,3.9419801069408904,1.5628709913061967,0.49073539309653746,0.3686401161436462,0.5633958948344062,8.656192911,2.788710672964502,23.181532407116926,41.94355764095674,10
17.483865564863805,3.6432819930905973,1.756652476065741,0.5057680471544752,0.3655459790626715,0.5689652563438394,9.092088681,3.476628098820882,24.176438718731767,55.09211203414249,11
16.572590694210582,4.278052343811829,2.6768152402993906,0.527346772355046,0.3568751082074649,0.6189201596085184,12.32987813,4.027432673163624,25.931011922628066,66.77192346702056,12
17.59506716732762,3.5521270099614277,2.084828147592717,0.5217931846292216,0.35575236449958014,0.5789602477310797,9.787916987,5.2789024856208755,25.331481008398033,80.1127166165167,13
14.59057419099005,5.936527262124084,3.340174867928013,0.5465318097332952,0.35291969616444857,0.6386673069018077,13.82354352,4.603402707875169,23.408764243392504,88.33406119893837,14
13.164524382985281,7.076827329252585,2.7917875644724255,0.60533805262039,0.3618374127858598,0.6012345275696349,11.68856198,4.005614964794805,18.171032779872768,94.11737339998518,15
10.973367287827976,8.788270327665236,3.1354533852558877,0.5527540058346285,0.37939462164670934,0.6009051699634271,12.28662929,2.09750778913722,13.557056754672303,96.19321551214337,16
9.472815725285423,10.11465785393545,2.76044124879796,1.0272448566316312,0.4111581680350506,0.5663099837970962,10.64418331,1.3291353886869164,7.666821322809874,95.58346548992802,17
8.702615612263052,10.690292328261645,2.511214572766918,1.6730853226957145,0.46384317976263834,0.5322580693937174,9.367869155,0.6692362282307049,0.9608690004297109,93.69517260974553,18
5.69964088356106,13.565799522594537,3.1377236394776795,2.294289076505875,0.4251878821408199,0.5880920759443721,12.39465148,1.5908561597489592e-9,-1.5908561597489592e-9,86.22232190268323,19
10.019138580978952,9.965123748297346,4.797929561007866,3.1043955795140863,0.6006339814656024,0.5514085456800624,15.44467842,1.5884437865406596e-9,-1.5884437865406596e-9,86.27363599376432,20
7.56401793642936,11.086904022437484,5.451903948864492,3.7114314210211394,0.5458143130814807,0.5852262448446534,16.8985169,1.5995434820102803e-9,-1.5995434820102803e-9,82.92689421208763,21
5.8359466387946775,12.366515224725255,5.439391563929809,1.712643258915871,0.4855824445118289,0.6003575435567848,16.47170006,1.60627702017163e-9,-1.60627702017163e-9,76.72285405547491,22
5.213248632378993,13.057478752407471,4.851854295333015,2.341884653458569,0.43699252252396353,0.5750271910366108,13.68607957,1.6136160835465195e-9,-1.6136160835465195e-9,69.27083544145569,23
6.490412519681934,11.926681299629927,3.9991477047759214,1.010906348819034,0.41554349208621694,0.5035616347595356,8.470248611,1.6193973419089423e-9,-1.6193973419089423e-9,64.10638010050184,24
7.9948034025347425,10.25058466358208,3.493472887477753,0.6840603860570914,0.40618767746643686,0.4470849454039588,3.892483486,1.6239974829719405e-9,-1.6239974829719405e-9,61.96338790249634,25
7.330603168214008,10.293870445415406,4.081021980963544,0.5301053242742935,0.3980321880243623,0.43853373103859766,3.97301733,1.6268536977413171e-9,-1.6268536977413171e-9,59.14828398913933,26
6.548995246448997,10.53631517236216,4.62020530889508,0.43387734937636807,0.3845751491341324,0.438888190185502,4.404666059,1.6273824796345484e-9,-1.6273824796345484e-9,55.36033005950133,27
