Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
6.462041587210719,10.340335344385695,5.256929786744854,0.0129962322190618,-7.267665900554746e-9,-7.559095351887287e-9,3.891376272,-3.82962005821949e-9,3.82962005821949e-9,62.64411660826898,1
6.032044958042099,9.870603968882499,5.277995502365425,0.015634746259646545,-7.26969740823648e-9,-7.491869408014224e-9,3.858637756,-3.829620119812712e-9,3.829620119812712e-9,58.997485547970605,2
4.740285695082871,8.677947569917809,8.351083655361682,0.016519904654519347,-7.2718993279760175e-9,-7.41953212242953e-9,3.963242994,-3.829620060442414e-9,3.829620060442414e-9,55.256706766877414,3
5.775008315425967,9.879124914588925,4.890739777921376,0.015657630551400608,-7.274290293269659e-9,-7.34159516827981e-9,4.132282962,-3.8296203838409365e-9,3.8296203838409365e-9,51.35779599767261,4
5.725925026671678,10.27699717510483,5.026634721902704,0.016923227001425796,-7.2742903129666585e-9,-7.341595164771211e-9,4.581515179,-3.8296202933644505e-9,3.8296202933644505e-9,47.03427745666111,5
4.6432587399334455,9.775390692980505,6.448441174282394,0.016788052875557236,-7.274290296917291e-9,-7.341595170190705e-9,5.162331822,-3.829620366721546e-9,3.829620366721546e-9,42.1587521012664,6
4.492781332806457,5.473787031315282,12.395705054082212,0.018042941302312387,-7.2742902823550325e-9,-7.341595172599753e-9,5.899239976,1.1413145983851791e-9,4.885777005546312,41.22679668768302,7
8.509101111417326,5.432616590776207,9.743808188162392,0.015937007038484195,-7.274290324312536e-9,-7.341595168662534e-9,8.815176394,1.1413145983851791e-9,11.862991990909006,44.14945698229208,8
12.020151142292574,4.322001573109353,10.641814450425937,0.016338089366109275,-7.2742902957315845e-9,-7.3415951706677235e-9,9.263618488,1.1413163747420185e-9,16.93237762709563,51.46269907301615,9
17.48480636289751,3.3414399765439997,10.70322754638542,0.015670873629462144,-7.274290258223632e-9,-7.341595172796669e-9,8.48467442,1.1413163747420185e-9,22.599850620410148,64.89889714005197,10
18.599222288185505,2.549618214641856,14.696256554933676,0.019822915619031864,-7.27429024114922e-9,-7.341595174148078e-9,8.487606357,1.1413163747420185e-9,24.501551166448724,80.14602100991843,11
12.529528069299944,2.3439914021075348,17.382672141858585,0.01781448681697956,-7.274290239075167e-9,-7.341595172761795e-9,15.40057905,1.1413163747420185e-9,25.554069401945025,89.82228084375122,12
19.08692670217283,3.0951672887731427,9.624035129803055,0.016756978808223372,-7.274290231153972e-9,-7.3415951718250054e-9,8.686948972,1.1413163747420185e-9,24.6485644095878,105.01445228648092,13
16.114409991790488,3.7487162801537774,10.272337762668231,0.0180368792736336,-7.274290223326247e-9,-7.341595172101342e-9,9.345073048,1.1413163747420185e-9,21.67832037941331,116.76186131253579,14
5.584020360773862,2.8161983610313057,17.767792032835864,0.019244673163864343,-7.274290228486168e-9,-7.3415951743704586e-9,13.98699289,1.1413163747420185e-9,16.720195824690244,119.39129221229122,15
3.9242609971995495,5.305495682615057,14.255707119192309,0.3858038351458075,-6.843347093354628e-9,-7.354845464416743e-9,13.11970489,-3.0782807414198032e-9,10.452457427608481,118.07911926114649,16
2.8417472687772953,8.340931169120365,11.597271399775352,0.3471441401618594,-6.8433470788964085e-9,-7.3548454651505804e-9,10.5067569,-3.078281185509013e-9,3.8504258726274108,112.85489455582058,17
3.23894962813341,10.385603277878817,9.715399829077795,0.5314824500573475,-6.843347072515228e-9,-7.354845464582077e-9,8.918261815,-5.240114610243457e-9,5.240114610243457e-9,106.06557358856243,18
2.4030759877657935,9.958858523127518,11.482726386599417,0.9198439398724523,-6.8433470684472e-9,-7.354845464227827e-9,10.621929,-5.240114619622497e-9,5.240114619622497e-9,98.8875801799688,19
2.9398959863165275,9.43587836753348,14.327393419690257,2.3096165735820673,-8.397291204668843e-9,6.13098078907835e-9,14.19470429,-5.240114624490925e-9,5.240114624490925e-9,92.71639691781269,20
1.407227380772176,8.856632197776424,17.089375733411746,2.8515461688458785,-8.397291778013655e-9,6.13098288952834e-9,16.95455871,-5.240114636555854e-9,5.240114636555854e-9,85.63946234165866,21
1.602217323218906,4.528020355556409,20.610066610984425,5.265344970245901,-8.397291197479376e-9,6.130980764977578e-9,20.47695293,-5.2401146312290115e-9,5.2401146312290115e-9,82.85994946093804,22
1.1985820958632898,5.746639218019933,17.582107063437807,3.8673742683001597,-8.397291191187061e-9,6.1309807423489616e-9,17.43930468,-5.240114632399902e-9,5.240114632399902e-9,78.53929519488923,23
3.664761583120477,8.530510695503768,11.05091851010709,1.5608416767659827,-6.843347064418943e-9,-7.354845466291528e-9,10.0685547,-5.240114628673473e-9,5.240114628673473e-9,73.9168335381251,24
7.181509599267862,9.573290294963865,5.598663327803947,0.44987867337216864,-6.843347066495833e-9,-7.3548454704098105e-9,3.891376272,-5.240114623499651e-9,5.240114623499651e-9,71.6446418772139,25
6.574371652449062,9.848646065071232,6.075860933663175,0.1753090034963631,-6.843347069579123e-9,-7.35484547127384e-9,3.858637756,-5.2401146163326715e-9,5.2401146163326715e-9,68.53408118522283,26
7.120870949923971,9.44253990533201,6.003541613214982,0.4924722120585582,-6.843347063988481e-9,-7.354845471557947e-9,3.963242994,-5.240114629146699e-9,5.240114629146699e-9,66.32849567758521,27
