Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
7.715586228086586,11.897002294512419,1.3957629524021729,-5.9095293887196505e-9,-8.404845436117907e-9,-8.25829541415622e-9,-8.57402838672094e-9,4.060634208,-1.3047806629701855e-14,1.3047806629701855e-14,47.52984086734252,1
7.841932396262935,12.197850883853858,0.863955648909991,-9.748075769892338e-9,-8.404571552099162e-9,-8.21136556194299e-9,-8.523100831889418e-9,4.219408109,-1.3045937734495134e-14,1.3045937734495134e-14,43.391718304131146,2
7.545364232598018,12.642914423161525,0.6390207152662476,-7.099381401980663e-11,-8.40430022366474e-9,-8.159588534614775e-9,-8.468400865802382e-9,4.961969356,-1.3044001713052123e-14,1.3044001713052123e-14,38.54904562309582,3
7.5086231513348585,12.766401524271824,0.5207914349399356,-1.8372264590617334e-9,-8.404033119424926e-9,-8.102442809818274e-9,-8.409493210256045e-9,5.137053824,-1.3040941556441972e-14,1.3040941556441972e-14,33.554156168805704,4
7.470795286688427,12.762021958667226,0.5734780363505381,-2.913493783932025e-9,-8.404033119571273e-9,-8.102442809823315e-9,-8.409493210224344e-9,5.161052641,-1.3036544747065702e-14,1.3036544747065702e-14,28.527490830425844,5
7.3014671489779746,12.856931617712458,0.6380650126996984,-2.8368326821573687e-14,-8.40403311986378e-9,-8.102442809833398e-9,-8.41991286984609e-9,5.426296986,-1.3027756218479047e-14,1.3027756218479047e-14,23.249799585128088,6
8.71682189401751,11.501293156478514,0.7272550160375316,-9.999977422910977e-9,-8.404033120721782e-9,-8.102442809862963e-9,-8.409493209974989e-9,6.200015786,0.003841402205014166,3.5540878538461502,20.604551885790134,7
11.516901897031785,8.86408210134293,0.8335922840610541,-6.163827831371731e-14,-8.404033551068895e-9,-8.102442824686124e-9,-8.409493116842985e-9,8.033416645,0.6509715008446335,11.492597417893242,23.124730691694545,8
15.254836830405996,5.230597610715671,0.940265098298358,-1.1965172069755471e-22,-8.404033552224153e-9,-8.10244282472537e-9,-8.409493116596076e-9,8.068966743,1.2447264789315895,19.52453961792607,32.647757950400354,9
16.757400414952944,3.7522892055487156,1.0257234912416997,-5.185587296457821e-32,-8.404033552770547e-9,-8.102442824745622e-9,-8.409493116449237e-9,7.710740108,2.18150492438566,23.107441483318713,45.002613599334374,10
17.230821674960165,3.2851310632289032,1.1001356517024214,-1.1410952220008181e-35,-8.404033553115308e-9,-8.102442824759561e-9,-8.409493116333935e-9,7.114797443,3.9510869684015155,25.799159378652696,58.25101968047907,11
15.981496158092433,4.48253670693107,1.1625168958769778,-1.1408711359100358e-41,-8.404033553186647e-9,-8.102442824762731e-9,-8.409493116300846e-9,8.88547301,4.923562097608034,26.77001724065024,69.17503115908235,12
13.67722056133508,6.6612511249440765,1.2128107453268617,-1.1408711359100052e-41,-8.404033553208971e-9,-8.102442824764551e-9,-8.409493116276503e-9,9.026922076,5.8197275880359385,24.89889317373643,75.84020212365381,13
14.614353347707617,5.788485135465736,1.2910493593686139,-4.404460977031427e-41,-8.404033553148045e-9,-8.102442824764075e-9,-8.409493116273774e-9,9.268428339,3.9108745722815037,22.826285343180967,84.2247769252836,14
13.160796622220278,7.166210434182397,1.3503495851174605,-2.710080657918252e-31,-8.404033553026566e-9,-8.102442824763932e-9,-8.409493116259758e-9,9.438550076,2.9808618215803406,19.130427648380913,89.9196338039196,15
11.547338746752022,8.616495336884515,1.4097160805851272,0.002543695187285782,-8.404033552498089e-9,-8.102442824748562e-9,-8.409493116289283e-9,9.904921441,1.4642250187558297,14.561046519105673,92.70393504329374,16
9.554381640088428,10.28758474445963,1.4567405140905332,0.002526566129353853,-3.597627777365618e-9,-8.155111404509744e-9,0.762434855544884,9.354557774,-8.409492657790452e-9,7.990443751296642,92.00739209414108,17
7.41611251304426,12.061852475134092,1.4848574091766324,0.0023120370457604725,-3.5976277495769288e-9,-8.155111404674216e-9,4.331383582194543,9.22444803,-8.409493101879661e-9,0.3676808242873597,87.59393913015575,18
10.513398119214768,9.521092750588517,1.6905917077683574,0.0022952611085143818,-3.597627748630184e-9,-8.155111404685492e-9,13.027006658417127,11.91521833,-8.419913200884558e-9,8.419913200884558e-9,88.53662923035068,19
9.492212860849573,10.22587609228527,1.7944174858056805,0.002373492674920388,-3.597627747534283e-9,-8.155111404677928e-9,15.271873067048933,15.88198101,-8.419913200857182e-9,8.419913200857182e-9,87.83964916048677,20
8.54466145944681,10.888002151370554,1.9244658658749942,0.0023413005380736726,-3.5976277473169063e-9,-8.155111404677827e-9,17.159390645436755,19.38085197,-8.419913200862805e-9,8.419913200862805e-9,85.61347550315922,21
5.723068423571036,13.229758173410415,1.9182476064114726,0.0023805333139891496,-3.597627747845161e-9,-8.15511140467677e-9,11.45954237460028,18.84231053,-8.419913200847098e-9,8.419913200847098e-9,78.4821202408118,22
4.446217851010283,14.346445036309804,1.954662815832863,0.0026570878452162328,-3.5976277511149582e-9,-8.155111404662488e-9,4.420586017157977,14.182495,-8.419913200699549e-9,8.419913200699549e-9,69.07690441477726,23
5.565250381588604,12.878739306704801,2.484782120508314,0.002670131306178964,-3.5976277585686984e-9,-8.155111404626047e-9,1.8764962136940888,9.050987688,-8.419913200341302e-9,8.419913200341302e-9,62.12908993591687,24
