Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,3.892483486,0.0,0.0,3.892483486,0.0,0.0,47.4945230133,1
0.0,3.97301733,0.0,0.0,3.97301733,0.0,0.0,43.720156549799995,2
0.0,4.404666059,0.0,0.0,4.404666059,0.0,0.0,39.535723793749995,3
0.0,4.530259663,0.0,0.0,4.530259663,0.0,0.0,35.231977113899994,4
0.0,5.036884463,0.0,0.0,5.036884463,0.0,0.0,30.446936874049996,5
0.0,5.738301168,0.0,0.0,5.738301168,0.0,0.0,24.995550764449995,6
0.0,3.9349368662579516,0.0,0.0,6.656826109,0.0,2.7218892427420482,21.25736074150494,7
0.176246194069698,0.0,0.0,0.0,9.947372637,0.0,10.123618831069699,21.42479462587115,8
0.0,0.0,0.0,0.0,9.784426994,6.946436559569179,9.784426994,21.42479462587115,9
16.04009494568451,0.0,0.0,0.0,8.656192911,0.0,24.69628785668451,36.66288482427143,10
17.20447296998435,0.0,0.0,0.0,9.092088681,0.0,26.29656165098435,53.00713414575657,11
16.158972328379548,0.0,0.0,0.0,12.32987813,0.0,28.48885045837955,68.35815785771713,12
19.320891884781457,0.0,0.0,0.0,9.787916987,0.0,29.108808871781456,86.71300514825951,13
0.0,0.0,0.0,0.0,13.82354352,12.814502815754283,13.82354352,86.71300514825951,14
3.119235639211441,0.0,0.0,0.0,11.68856198,6.280987522682834,14.80779761921144,89.67627900551038,15
2.600009662620648,0.0,0.0,0.0,12.28662929,0.0,14.886638952620649,92.146288185,16
0.0,0.0,0.0,2.089518041433669,10.64418331,0.0,8.554665268566332,92.146288185,17
0.0,0.0,0.0,7.817727793613946,9.367869155,0.0,1.5501413613860535,92.146288185,18
0.0,12.39465148,0.0,0.0,12.39465148,0.0,0.0,80.371369279,19
0.0,15.44467842,0.0,0.0,15.44467842,0.0,0.0,65.69892478000001,20
0.0,0.0,0.0,16.8985169,16.8985169,0.0,0.0,65.69892478000001,21
0.0,15.270044689473702,0.0,1.2016553705262982,16.47170006,0.0,0.0,51.192382325,22
0.0,0.0,0.0,13.68607957,13.68607957,0.0,0.0,51.192382325,23
0.0,0.0,0.0,8.470248611,8.470248611,0.0,0.0,51.192382325,24
