Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,4.060634208,0.0,0.0,4.060634208,0.0,0.0,47.3347798274,1
0.0,4.219408109,0.0,0.0,4.219408109,0.0,0.0,43.32634212385,2
0.0,4.961969356,0.0,0.0,4.961969356,0.0,0.0,38.61247123565,3
0.0,5.137053824,0.0,0.0,5.137053824,0.0,0.0,33.73227010285,4
0.0,5.161052641,0.0,0.0,5.161052641,0.0,0.0,28.8292700939,5
0.0,5.426296986,0.0,0.0,5.426296986,0.0,0.0,23.6742879572,6
0.0,3.3656158181052644,0.0,0.0,6.200015786,0.6799203294117628,2.8343999678947354,20.47695293,7
3.9613105295998796,0.0,0.0,0.0,8.033416645,0.0,11.99472717459988,24.240197933119884,8
12.44573384589135,0.0,0.0,0.0,8.068966743,0.0,20.51470058889135,36.06364508671667,9
0.0,0.0,0.0,0.0,7.710740108,17.26824380713541,7.710740108,36.06364508671667,10
20.47695293,0.0,0.0,0.0,7.114797443,1.7938520555766786,27.591750373,55.51675037021667,11
0.0,8.88547301,0.0,0.0,8.88547301,31.305116304182413,0.0,47.075551010716666,12
20.47695293,0.0,0.0,0.0,9.026922076,0.8382326299942626,29.503875006,66.52865629421666,13
17.14101856707087,0.0,0.0,0.0,9.268428339,0.0,26.40944690607087,82.81262393293399,14
3.9009787823555464,0.0,0.0,0.0,9.438550076,8.500746141982127,13.339528858355546,86.51855377617176,15
5.9239309566613105,0.0,0.0,0.0,9.904921441,0.0,15.828852397661311,92.146288185,16
0.0,0.0,0.0,1.4620515971683048,9.354557774,0.0,7.892506176831695,92.146288185,17
0.0,8.861273817929264,0.0,0.0,9.22444803,0.0,0.3631742120707355,83.7280780579672,18
8.861273817929272,0.0,0.0,20.77649214792927,11.91521833,0.0,0.0,92.146288185,19
0.0,0.0,0.0,15.88198101,15.88198101,0.0,0.0,92.146288185,20
0.0,19.38085197,0.0,0.0,19.38085197,0.0,0.0,73.7344788135,21
0.0,18.84231053,0.0,0.0,18.84231053,0.0,0.0,55.83428381,22
0.0,0.0,0.0,14.182495,14.182495,0.0,0.0,55.83428381,23
0.0,4.88621208947369,0.0,4.164775598526309,9.050987688,0.0,0.0,51.192382325,24
