Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,7.204,0.0,7.204,0.0,0.0,176.28679224282132,1
0.0,9.725,0.0,9.725,0.0,0.0,167.0480422428213,2
0.0,10.903,0.0,10.903,0.0,0.0,156.6901922428213,3
0.0,11.487,0.0,11.487,0.0,0.0,145.7775422428213,4
0.0,11.409,0.0,11.409,0.0,0.0,134.9389922428213,5
0.0,10.125,0.0,10.125,0.0,0.0,125.32024224282131,6
0.0,10.246936437134096,0.0,12.173,0.0,1.9260635628659044,115.58565262754392,7
5.3312525787566205,0.0,0.0,14.443,0.0,19.77425257875662,120.65034257736271,8
0.0,0.0,0.0,23.686,17.403356007805968,23.686,120.65034257736271,9
0.0,0.0,0.0,24.863,34.71656621131865,24.863,120.65034257736271,10
21.15509339280752,0.0,0.0,25.781,24.97027962085292,46.93609339280752,140.74768130052985,11
52.56398912740452,0.0,0.0,25.891,0.0,78.45498912740452,190.68347097156413,12
52.33781879007527,0.0,0.0,27.016,0.0,79.35381879007527,240.40439882213562,13
46.159308614441024,0.0,0.0,29.856,0.0,76.01530861444103,284.2557420058546,14
39.92201198773347,0.0,0.0,27.105,0.0,67.02701198773347,322.18165339420136,15
0.0,0.0,0.0,24.591,27.926333147476996,24.591,322.18165339420136,16
7.84569751881795,0.0,0.0,25.411,0.0,33.25669751881795,329.6350660370784,17
0.0,15.848235572902146,0.0,26.891,0.0,11.042764427097852,314.57924224282135,18
0.0,27.45,0.0,27.45,0.0,0.0,288.50174224282136,19
0.0,29.435,0.0,29.435,0.0,0.0,260.53849224282135,20
0.0,28.09,0.0,28.09,0.0,0.0,233.85299224282136,21
0.0,25.793,0.0,25.793,0.0,0.0,209.34964224282135,22
0.0,18.824,0.0,18.824,0.0,0.0,191.46684224282134,23
64.47723689712852,73.25223689712853,0.0,8.775,0.0,0.0,183.1305922428213,24
