Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,3.891376272,0.0,0.0,3.891376272,0.0,0.0,47.495574866599995,1
0.0,3.858637756,0.0,0.0,3.858637756,0.0,0.0,43.829868998399995,2
0.0,3.963242994,0.0,0.0,3.963242994,0.0,0.0,40.06478815409999,3
0.0,4.132282962,0.0,0.0,4.132282962,0.0,0.0,36.1391193402,4
0.0,4.581515179,0.0,0.0,4.581515179,0.0,0.0,31.786679920149997,5
0.0,5.162331822,0.0,0.0,5.162331822,0.0,0.0,26.882464689249996,6
0.0,1.3686829675325694,0.0,0.0,5.899239976,0.0,4.53055700846743,25.582215870094057,7
2.1853177827521097,0.0,0.0,0.0,8.815176394,0.0,11.00049417675211,27.65826776370856,8
6.437692077058848,0.0,0.0,0.0,9.263618488,0.0,15.701310565058849,33.77407523691444,9
12.472056000491198,0.0,0.0,0.0,8.48467442,0.0,20.956730420491198,45.62252843738108,10
14.232561634438088,0.0,0.0,0.0,8.487606357,0.0,22.72016799143809,59.143461990097265,11
8.295583928896678,0.0,0.0,0.0,15.40057905,0.0,23.696162978896677,67.0242667225491,12
14.169543677344002,0.0,0.0,0.0,8.686948972,0.0,22.856492649344002,80.48533321602588,13
10.757126908626773,0.0,0.0,0.0,9.345073048,0.0,20.102199956626773,90.70460377922133,14
1.5175625323986033,0.0,0.0,0.0,13.98699289,0.0,15.504555422398603,92.146288185,15
0.0,3.4271924860174146,0.0,0.0,13.11970489,0.0,9.692512403982585,88.89045532328346,16
3.4271924860174123,0.0,0.0,10.363468399064454,10.5067569,0.0,3.570480986952959,92.146288185,17
0.0,0.0,0.0,8.918261815,8.918261815,0.0,0.0,92.146288185,18
0.0,0.0,0.0,10.621929,10.621929,0.0,0.0,92.146288185,19
0.0,0.0,0.0,14.19470429,14.19470429,0.0,0.0,92.146288185,20
0.0,5.193116979473706,0.0,11.761441730526295,16.95455871,0.0,0.0,87.21282705449998,21
0.0,20.47695293,0.0,0.0,20.47695293,0.0,0.0,67.75972177099999,22
0.0,17.43930468,0.0,0.0,17.43930468,0.0,0.0,51.192382325,23
0.0,0.0,0.0,10.0685547,10.0685547,0.0,0.0,51.192382325,24
