Solar Production [kWh]
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.005
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.005
0.004
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.004
0.014
0.017
0.006
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.006
0.007
0.004
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.002
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.007
0.013
0.008
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.008
0.01
0.006
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.005
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.007
0.018
0.022
0.017
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.002
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.007
0.021
0.026
0.015
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.004
0.016
0.018
0.01
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.04
0.09
0.102
0.07
0.02
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.02
0.035
0.042
0.034
0.008
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.042
0.068
0.072
0.052
0.018
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.012
0.024
0.034
0.031
0.013
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.01
0.024
0.032
0.024
0.006
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.02
0.168
0.306
0.355
0.294
0.128
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.041
0.23
0.358
0.382
0.299
0.131
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.024
0.127
0.227
0.257
0.204
0.091
0.004
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.018
0.037
0.048
0.047
0.023
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.005
0.027
0.048
0.049
0.035
0.013
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.032
0.088
0.095
0.065
0.038
0.021
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.035
0.109
0.156
0.147
0.099
0.042
0.004
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.083
0.242
0.384
0.412
0.344
0.179
0.021
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.046
0.152
0.267
0.321
0.31
0.19
0.031
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.01
0.091
0.194
0.176
0.097
0.05
0.016
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.151
0.357
0.472
0.492
0.416
0.245
0.044
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.136
0.302
0.405
0.393
0.297
0.137
0.022
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.091
0.166
0.139
0.086
0.033
0.012
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.095
0.239
0.291
0.265
0.147
0.052
0.01
0
0
0
0
0
0
0
0
0
0
0
0
0
0
