dry,wet
7.186,7.204
9.674,9.725
10.884,10.903
11.402,11.487
11.327,11.409
10.046,10.125
12.063,12.173
14.997,14.443
22.145,23.686
24.25,24.863
24.779,25.781
26.121,25.891
28.077,27.016
31.198,29.856
26.595,27.105
24.584,24.591
25.669,25.411
26.993,26.891
27.489,27.45
29.523,29.435
28.134,28.09
25.888,25.793
18.957,18.824
8.92,8.775
7.186,7.204
9.674,9.725
10.884,10.903
