dry,wet
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.1,0.12
0.1,0.12
0.1,0.12
0.1,0.12
0.11,0.13
0.11,0.13
0.11,0.13
0.11,0.13
0.1,0.12
0.1,0.12
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
0.09,0.11
