Indicator,Unit,Value
Total Annual Solar Production,MWh/year,86.23490894067501
Solar Curtailment Share,%,0.0
Battery Discharge,MWh/year,47.38354924655202
Battery Charge,MWh/year,47.38354924655203
Generator Production,MWh/year,0.0
Fuel Consumption,liters/year,0.0
Renewable Penetration,%,100.0
