Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
3.04525284590302,6.592007789306982,1.243635365345523,0.054055339306269955,0.1339782759091128,1.2234527638917032,0.11338823918357459,3.891376272,-2.572144177924616e-15,2.572144177924616e-15,33.90615873189418,1
3.2753703539214554,6.612054355300317,0.5754617836511864,0.07939974104280954,0.20283818383970878,1.2447419419922643,0.16988657806770988,3.858637756,-2.105769792176019e-15,2.105769792176019e-15,30.73630893058426,2
3.3253613507718245,6.4741804516573005,0.40702551076057547,0.12467593609772204,0.3115123488300427,1.2720489226136595,0.2634958981249929,3.963242994,-2.62591386920739e-15,2.62591386920739e-15,27.74493078474306,3
3.54660115176157,6.295221157364372,0.33688809060778696,0.21966529470012666,0.48129720965603995,1.18390799257337,0.4799325207154223,4.132282962,-3.860603839180526e-15,3.860603839180526e-15,25.1337417794204,4
3.8172876341265463,5.920634368089153,0.6814423090642018,0.4387813623636183,0.679161849038083,1.2534398060322887,0.9551962837615774,4.581515179,-5.861125424019355e-15,5.861125424019355e-15,23.135562382155925,5
4.129245598346637,5.570685089074326,0.4653307285461277,0.6909439872233082,0.8251146677463451,1.2505109511289634,1.5670392265580582,5.162331822,-7.062595741945192e-15,7.062595741945192e-15,21.76619486596462,6
4.694766472271044,4.747234567834556,2.5598911956485373,0.8961496976600861,0.8802849266350642,1.269673115941792,1.9284004363882907,5.899239976,2.148592211516654,1.3147217142206584,21.716350175179286,7
4.6442312202745715,4.9811900521436,0.37835949533189167,1.0290379638384497,0.936617371916917,1.3228180666015874,3.017930504681771,8.815176394,5.864406363277724,2.5447505243044946,21.396239284903707,8
4.859059706163171,4.774504241645833,0.23657581911651873,1.0414327717581984,0.9231277084657901,1.4543724114630927,3.330199712479259,9.263618488,8.910531750096048,3.092091201268061,21.476566976195176,9
5.153981630088089,4.533123961451006,0.4402772850458624,0.9950063673729609,0.8965865658325733,1.4081451037215613,3.0150800712837422,8.48467442,12.739655352058984,3.280391668111227,22.066381761400404,10
5.263493595408511,4.395536078582556,0.5367884151266262,1.01371223605827,0.9009340143595065,1.373526735662818,3.085911980438897,8.487606357,13.948808206151375,3.4192712712231863,22.890941402385064,11
4.7371212762360475,4.740036798043087,0.5999070620559909,1.2671020899582977,0.9405863705462065,1.5779238536685962,7.062836950241312,15.40057905,13.156658265038011,4.957505419024102,22.88817165666838,12
5.485221010841762,4.274893853751122,0.6561639236134575,1.0746778372511712,0.9405446012162612,1.256662067293982,2.952066173898758,8.686948972,13.53431353897628,3.9379772054156756,24.037982455904487,13
5.751991033965862,4.073228029347134,0.715697505611131,1.1668837880289726,0.9778630226726504,1.1633011997181768,3.46833046006717,9.345073048,11.033179196460576,4.333635285207807,25.63280731029228,14
4.051409358815118,5.271471692293944,1.7226823676822027,2.2847429192313826,1.0200038382620042,1.8321668226460224,4.128594016995315e-15,13.98699289,4.4990262039043705,7.3531903351218935,24.473748093487394,15
4.0973287557996745,5.432803780648709,1.2431766074156865,2.773061625035122,1.2421671133920726,1.3374977942704087,4.435369078519221e-15,13.11970489,2.200038605688321,5.209251934383654,23.20504681988081,16
5.489966613600958,4.196694119516415,0.9407197698414557,1.5798045704061785,1.1996155137659934,1.1243906080344506,5.989906642902226,10.5067569,1.156977200177757,1.572421525096749,24.433655689261123,17
5.101059296012534,4.50433378155565,1.0372398067037731,1.8447330319431963,1.2006278090067228,1.224393508909019,4.76679599748247,8.918261815,-4.608213456702375e-15,4.608213456702375e-15,25.00054492799516,18
5.057202414904748,4.495071445695268,1.192118082822938,2.100536209275366,1.2190809805139207,1.0715620701292596,5.925486278550621,10.621929,-4.598415433497016e-15,4.598415433497016e-15,25.534569348744167,19
5.131782938963484,4.433949868551029,1.2692706962007871,2.4028612239992833,1.229359641823885,1.0607326768919412,9.042290749359177,14.19470429,-4.59661603202466e-15,4.59661603202466e-15,26.197510765636,20
5.843991708816956,4.034315301438371,1.3721113733381747,1.8498841787475002,1.2776392774617291,1.0370199784777543,13.929126265402427,16.95455871,-4.693916533401296e-15,4.693916533401296e-15,27.91670335264566,21
2.6370483906266515,5.822735531131,5.9241901796927205,8.241451097216093,1.4423213717723908,1.561274166941583,4.057863233520121e-15,20.47695293,-4.438367205482284e-15,4.438367205482284e-15,24.890300569166524,22
5.108643038853978,4.290051741788847,2.403862864589118,2.5705769916728416,1.2734588074418924,1.0748641325856285,12.04101987794469,17.43930468,-4.649681880896845e-15,4.649681880896845e-15,25.6679623013784,23
5.262460643382565,4.057319368100636,3.3860799537434896,2.0555421112256744,1.2256236408815777,1.1263403599725366,6.095106735889435,10.0685547,-4.591428296728626e-15,4.591428296728626e-15,26.812846512896233,24
6.101299180952546,3.5524639547509413,2.718327897756703,1.4459157699187681,1.181565212230119,1.043916949860013,2.478039036127697,3.891376272,-4.3487184804357404e-15,4.3487184804357404e-15,29.234239977787755,25
6.339488929170322,3.445499858972398,2.3445184015905025,1.698561795025435,1.2723948982413822,0.927177857831194,2.2137669375230087,3.858637756,-4.123675198516007e-15,4.123675198516007e-15,31.983529594475783,26
7.947258059020259,2.3766829709653474,2.871306128789018,2.4666798998379353,1.449530698480879,0.9296950486011951,3.3406721915779984,3.963242994,-3.902957292085331e-15,3.902957292085331e-15,37.27557592812795,27
