Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),Time Step
3.891376272,3.891376272,0.0,0.0,1
3.858637756,3.858637756,0.0,0.0,2
3.963242994,3.963242994,0.0,0.0,3
4.132282962,4.132282962,0.0,0.0,4
4.581515179,4.581515179,0.0,0.0,5
5.162331822,5.162331822,0.0,0.0,6
2.3305199540399193,5.899239976,0.0,3.5687200219600803,7
0.15008648415900616,8.815176394,0.0,8.665089909840994,8
0.0,9.263618488,3.104304767311506,9.263618488,9
0.0,8.48467442,8.022943364446755,8.48467442,10
0.0,8.487606357,9.409071305769231,8.487606357,11
0.0,15.40057905,3.264889921777476,15.40057905,12
0.0,8.686948972,9.317111631817415,8.686948972,13
0.0,9.345073048,6.489431039815576,9.345073048,14
1.77405367213089,13.98699289,-1.7763568394002505e-15,12.21293921786911,15
5.484912299477021,13.11970489,0.0,7.634792590522978,16
7.694288816637968,10.5067569,0.0,2.8124680833620315,17
8.918261815,8.918261815,0.0,0.0,18
10.621929,10.621929,0.0,0.0,19
14.19470429,14.19470429,0.0,0.0,20
16.95455871,16.95455871,0.0,0.0,21
20.47695293,20.47695293,0.0,0.0,22
17.43930468,17.43930468,0.0,0.0,23
10.0685547,10.0685547,0.0,0.0,24
