Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),Time Step
3.892483486,3.892483486,0.0,0.0,1
3.97301733,3.97301733,0.0,0.0,2
4.404666059,4.404666059,0.0,0.0,3
4.530259663,4.530259663,0.0,0.0,4
5.036884463,5.036884463,0.0,0.0,5
5.738301168,5.738301168,0.0,0.0,6
4.833852561523725,6.656826109,-2.220446049250313e-16,1.822973547476275,7
3.1671227120688252,9.947372637,0.0,6.780249924931176,8
0.0,9.784426994,1.4209965058429646,9.784426994,9
0.0,8.656192911,7.884039063406606,8.656192911,10
0.0,9.092088681,8.51991974555542,9.092088681,11
0.0,12.32987813,6.7504062431121845,12.32987813,12
0.0,9.787916987,9.707581852013266,9.787916987,13
0.0,13.82354352,4.017172797173606,13.82354352,14
0.0,11.68856198,2.4355606545253234,11.68856198,15
2.3163672399106954,12.28662929,0.0,9.970262050089305,16
4.914733247439771,10.64418331,0.0,5.72945006256023,17
8.329668682959909,9.367869155,-2.220446049250313e-16,1.0382004720400895,18
12.39465148,12.39465148,0.0,0.0,19
15.44467842,15.44467842,0.0,0.0,20
16.8985169,16.8985169,0.0,0.0,21
16.47170006,16.47170006,0.0,0.0,22
13.68607957,13.68607957,0.0,0.0,23
8.470248611,8.470248611,0.0,0.0,24
