Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,3.891376272,0.0,3.891376272,0.0,0.0,120.0746029771331,1
0.0,3.858637756,0.0,3.858637756,0.0,0.0,116.4088971089331,2
0.0,3.963242994,0.0,3.963242994,0.0,0.0,112.6438162646331,3
0.0,4.132282962,0.0,4.132282962,0.0,0.0,108.7181474507331,4
0.0,4.581515179,0.0,4.581515179,0.0,0.0,104.3657080306831,5
0.0,5.162331822,0.0,5.162331822,0.0,0.0,99.4614927997831,6
0.3849087321040541,0.0,0.0,5.899239976,0.0,6.284148708104054,99.82715609528194,7
6.443155228390818,0.0,0.0,8.815176394,0.0,15.258331622390818,105.94815356225321,8
12.515021603835502,0.0,0.0,9.263618488,0.0,21.778640091835502,117.83742408589694,9
20.583541729114025,0.0,0.0,8.48467442,0.0,29.068216149114026,137.39178872855527,10
23.026601292182736,0.0,0.0,8.487606357,0.0,31.514207649182737,159.2670599561289,11
17.467390979413473,0.0,0.0,15.40057905,0.0,32.86797002941347,175.8610813865717,12
23.016348985782994,0.0,0.0,8.686948972,0.0,31.703297957782993,197.72661292306552,13
18.537859150268055,0.0,0.0,9.345073048,0.0,27.882932198268055,215.33757911582018,14
7.518736261028366,0.0,0.0,13.98699289,0.0,21.505729151028365,222.4803785637971,15
0.324379179118397,0.0,0.0,13.11970489,0.0,13.444084069118396,222.78853878395958,16
0.0,5.55429003123842,0.0,10.5067569,0.0,4.952466868761579,217.5119632542831,17
0.0,8.918261815,0.0,8.918261815,0.0,0.0,209.03961453003308,18
0.0,10.621929,0.0,10.621929,0.0,0.0,198.9487819800331,19
0.0,14.19470429,0.0,14.19470429,0.0,0.0,185.46381290453309,20
0.0,16.95455871,0.0,16.95455871,0.0,0.0,169.3569821300331,21
0.0,20.47695293,0.0,20.47695293,0.0,0.0,149.90387684653308,22
0.0,17.43930468,0.0,17.43930468,0.0,0.0,133.3365374005331,23
0.0,10.0685547,0.0,10.0685547,0.0,0.0,123.7714104355331,24
