Indicator,Unit,Value
Total Annual Solar Production,MWh/year,33.72210678966502
Solar Curtailment Share,%,32.32529535251491
Generator Production,MWh/year,52.92573090891747
Fuel Consumption,liters/year,5292.573090891749
Avg Generator Efficiency,kWh/liter,9.999999999999996
Avg Generator Load Factor,%,29.50512278077353
Renewable Penetration,%,38.91857856507906
