Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),Time Step
3.71310055,3.71310055,0.0,0.0,1
3.850246513,3.850246513,0.0,0.0,2
3.922147577,3.922147577,0.0,0.0,3
4.840740008,4.840740008,0.0,0.0,4
5.504500008,5.504500008,0.0,0.0,5
5.692869978,5.692869978,0.0,0.0,6
5.153938126416312,6.871955753,-2.220446049250313e-16,1.718017626583688,7
2.7874864678432356,8.40650595,0.0,5.619019482156764,8
0.0,8.899747882,1.051000320843528,8.899747882,9
0.0,8.537873092,5.0464421727447775,8.537873092,10
0.0,8.002153308,7.920070445527111,8.002153308,11
0.0,8.720917636,8.320960574685643,8.720917636,12
0.0,9.809463876,7.022216677598548,9.809463876,13
0.0,13.25056101,1.8819341256355724,13.25056101,14
5.9171685075487765,18.10402886,0.0,12.186860352451223,15
7.656587341900787,15.91283643,0.0,8.256249088099214,16
11.810801679097583,15.58021407,-4.440892098500626e-16,3.7694123909024166,17
13.628531803983428,14.01421239,0.0,0.385680586016573,18
16.10392341,16.10392341,0.0,0.0,19
19.83947905,19.83947905,0.0,0.0,20
18.51345079,18.51345079,0.0,0.0,21
17.04587092,17.04587092,0.0,0.0,22
14.06639954,14.06639954,0.0,0.0,23
8.643647509,8.643647509,0.0,0.0,24
