Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
22.699023675100648,28.99525749354193,4.286002301705406,2.3657515555456923e-10,-7.215209673763467e-9,-6.786780393825114e-9,4.060634208,-1.123679302067937e-16,1.123679302067937e-16,132.01332250384797,1
23.10984190978461,29.64164729546585,2.6718225615327085,-3.31494841092837e-10,-7.215209673771925e-9,-6.658251609783158e-9,4.219408109,-4.966581146405647e-17,4.966581146405647e-17,125.80810738745079,2
22.914312492823473,30.261593887813643,1.9766765703357103,6.926173835937031e-10,-7.215209673780568e-9,-6.5190120937554995e-9,4.961969356,-2.0052610361924184e-17,2.0052610361924184e-17,118.82819006221014,3
22.914308829459124,30.50003848378576,1.5967790927245278,2.0575398510085485e-11,-7.215209673789344e-9,-6.367664793746431e-9,5.137053824,-6.103640604118372e-18,6.103640604118372e-18,111.62174689059982,4
22.819704542575312,30.51495672129828,1.7173957812359677,1.3475561845578324e-10,-7.215209673797133e-9,-6.367664793746431e-9,5.161052641,9.540055892290301e-20,-9.540055892290301e-20,104.31125732081301,5
22.574202807651954,30.655235706286096,1.8503711587426444,1.245124320841658e-10,-7.215209673809453e-9,-6.367664793746431e-9,5.426296986,2.3365541446678067e-18,-2.3365541446678067e-18,96.63427606711058,6
23.784052272599478,29.2790686533776,2.009830771661442,1.1451980529611566e-10,-7.215209673831757e-9,-6.367664793746431e-9,6.200015786,1.562015658667542,3.5466644042668682,91.41401050537135,7
28.55760482731968,24.895561722553094,2.2046682575277115,7.227912860501882e-11,-7.215209673859496e-9,-6.367664793746431e-9,8.033416645,2.548698630359903,14.887738117929965,94.8929514548996,8
34.400590155943846,19.50466008795094,2.409891417032538,6.444399990846175e-11,-7.215209673890998e-9,-6.36766479374643e-9,8.068966743,3.1560383003427006,26.6656720246561,109.04408501949285,9
37.462223026200256,16.66086824462669,2.5985338627438224,5.449203043384468e-11,-7.215209673913133e-9,-6.367664793746431e-9,7.710740108,3.61509697547406,32.69623105498925,128.80537206198773,10
40.632468559463014,13.675014654514554,2.7828523271749837,8.28301067872504e-11,-7.215209673928823e-9,-6.36766479374643e-9,7.114797443,4.003518549604927,38.713601281289634,154.41495327168877,11
41.35492304165728,12.913745081645551,2.9511458025386808,6.620706711563516e-11,-7.215209673924511e-9,-6.367664793746431e-9,8.88547301,3.7801584684824476,41.727310971225165,181.43407233369993,12
38.01868905205819,10.384436972763007,3.1299395049067895,5.804705058586495e-11,-7.215209673916308e-9,-6.367664793746431e-9,9.026922076,3.3931390264868,40.71442864917943,207.68661180903032,13
37.49357292749678,16.618374033449165,3.252807179134897,6.713293861878738e-11,-7.21520967392441e-9,-6.36766479374643e-9,9.268428339,3.5575342378254433,34.83322228643749,227.51805075837558,14
33.84592987723885,19.882242481972053,3.3934559346933053,7.699744221786588e-11,-7.215209673923119e-9,-6.367664793746431e-9,9.438550076,3.5549924831827653,28.193672414762077,240.78355378387906,15
30.10664062526903,23.064473148943108,3.536260467917126,6.831803766110049e-11,-7.2152096738636894e-9,-6.367664793746431e-9,9.904921441,2.658442467530538,20.35156681507281,247.47361288638868,16
26.527674017753696,26.00586608017886,3.6861819831215143,0.001457634225819755,-7.215209673189607e-9,-6.367664793746431e-9,9.354557774,0.7040374007756611,10.769102649398391,247.96933042708477,17
21.312553650840535,30.56123893065101,3.7951010449105773,0.0013338674468236016,-7.215209671661886e-9,-6.367664793746431e-9,9.22444803,0.15804700439482966,0.36989032049831694,239.18307941126483,18
19.63273650955435,31.940978346738298,4.003973844507166,0.0013241890214893137,-7.215209671647246e-9,-6.367664793746431e-9,11.91521833,-1.5644373277999664e-16,1.5644373277999664e-16,227.49024966594007,19
17.476987835493052,33.761071396744256,4.224800682960673,0.0013693226174926875,-7.215209671682225e-9,-6.36766479374643e-9,15.88198101,-1.517782429803958e-16,1.517782429803958e-16,212.02037028275143,20
15.551324043095395,35.339818869166486,4.489517013846382,0.001350750230850289,-7.215209671738745e-9,-6.367664793746431e-9,19.38085197,-1.4607811609001296e-16,1.4607811609001296e-16,193.22130019798388,21
15.60718162641985,34.869254409655376,4.995675045284963,0.001373384461138625,-7.215209671816138e-9,-6.36766479374643e-9,18.84231053,-1.3850410514123993e-16,1.3850410514123993e-16,174.9223310539101,22
17.652826627703686,32.28298943415754,5.910961269419029,0.0015329352157402358,-7.215209671912246e-9,-6.367664793746431e-9,14.182495,-1.2814009899186537e-16,1.2814009899186537e-16,161.02367638777898,23
19.869801393502765,29.385524664665763,7.28169773828812,0.0015404602893727044,-7.2152096720175174e-9,-6.367664793746432e-9,9.050987688,-1.1378508592961316e-16,1.1378508592961316e-16,151.98373928017412,24
21.81311528273459,26.34077209086129,9.575808381827942,0.0013635364533776534,-7.215209672124845e-9,-6.367664793746431e-9,4.060634208,-9.206514184139156e-17,9.206514184139156e-17,147.68246531245376,25
20.821322352562397,25.52366450910555,11.868781096002945,0.0013554870781913777,-7.215209672221677e-9,-6.367664793746431e-9,4.219408109,-5.567546875737001e-17,5.567546875737001e-17,143.21524026373774,26
19.489868475593724,24.98512703598378,13.921998811475893,0.0016942433093185935,-7.215209672325236e-9,-6.367664793746431e-9,4.961969356,1.4207020471150733e-17,-1.4207020471150733e-17,137.9947446313672,27
