Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,3.71310055,0.0,3.71310055,0.0,0.0,104.21003776152003,1
0.0,3.850246513,0.0,3.850246513,0.0,0.0,100.55230357417003,2
0.0,3.922147577,0.0,3.922147577,0.0,0.0,96.82626337602002,3
0.0,4.840740008,0.0,4.840740008,0.0,0.0,92.22756036842003,4
0.0,5.504500008,0.0,5.504500008,0.0,0.0,86.99828536082003,5
0.0,5.692869978,0.0,5.692869978,0.0,0.0,81.59005888172004,6
0.0,3.5500331925024056,0.0,6.871955753,0.0,3.3219225604975944,78.21752734884275,7
2.4583113235978686,0.0,0.0,8.40650595,0.0,10.864817273597868,80.55292310626072,8
10.34080846467064,0.0,0.0,8.899747882,0.0,19.24055634667064,90.37669114769778,9
17.728471704823512,0.0,0.0,8.537873092,0.0,26.26634479682351,107.21873926728011,10
22.784721914758904,0.0,0.0,8.002153308,0.0,30.786875222758905,128.86422508630108,11
24.230897773427838,0.0,0.0,8.720917636,0.0,32.95181540942784,151.88357797105755,12
22.735917787675263,0.0,0.0,9.809463876,0.0,32.545381663675265,173.48269986934906,13
16.009311653616827,0.0,0.0,13.25056101,0.0,29.25987266361683,188.69154594028504,14
5.4602266633523655,0.0,0.0,18.10402886,0.0,23.564255523352365,193.8787612704698,15
0.051272253438158444,0.0,0.0,15.91283643,0.0,15.964108683438159,193.92746991123605,16
0.0,5.160920959628449,3.130837004098908,15.58021407,0.0,7.288456106272643,189.02459499958906,17
0.0,10.137631558824022,3.130837004098908,14.01421239,0.0,0.7457438270770718,179.39384501870626,18
0.0,12.973086405901093,3.130837004098908,16.10392341,0.0,0.0,167.06941293310024,19
0.0,16.708642045901094,3.130837004098908,19.83947905,0.0,0.0,151.1962029894942,20
0.0,15.382613785901093,3.130837004098908,18.51345079,0.0,0.0,136.58271989288815,21
0.0,13.915033915901091,3.130837004098908,17.04587092,0.0,0.0,123.36343767278211,22
0.0,10.935562535901093,3.130837004098908,14.06639954,0.0,0.0,112.97465326367606,23
0.0,5.512810504901092,3.130837004098908,8.643647509,0.0,0.0,107.73748328402003,24
