Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),Time Step
3.891376272,3.891376272,0.0,0.0,1
3.858637756,3.858637756,0.0,0.0,2
3.963242994,3.963242994,0.0,0.0,3
4.132282962,4.132282962,0.0,0.0,4
4.581515179,4.581515179,0.0,0.0,5
5.162331822,5.162331822,0.0,0.0,6
3.5930959956269453,5.899239976,0.0,2.3061439803730543,7
3.21570520769055,8.815176394,0.0,5.59947118630945,8
1.271337897356461,9.263618488,8.881784197001252e-16,7.9922805906435395,9
0.0,8.48467442,2.1827198136872106,8.48467442,10
0.0,8.487606357,3.0774128114142822,8.487606357,11
3.338758944969035,15.40057905,0.0,12.061820105030964,12
0.0,8.686948972,2.947462169325906,8.686948972,13
0.0,9.345073048,0.8873481169004744,9.345073048,14
6.094864595642619,13.98699289,0.0,7.892128294357381,15
8.186022542915527,13.11970489,0.0,4.933682347084473,16
8.689310784719051,10.5067569,2.220446049250313e-16,1.8174461152809487,17
8.918261815,8.918261815,0.0,0.0,18
10.621929,10.621929,0.0,0.0,19
14.19470429,14.19470429,0.0,0.0,20
16.95455871,16.95455871,0.0,0.0,21
20.47695293,20.47695293,0.0,0.0,22
17.43930468,17.43930468,0.0,0.0,23
10.0685547,10.0685547,0.0,0.0,24
