Indicator,Unit,Value
Total Annual Solar Production,MWh/year,28.315999188870734
Solar Curtailment Share,%,12.06341010059154
Generator Production,MWh/year,58.331838509711766
Fuel Consumption,liters/year,5833.183850971178
Renewable Penetration,%,32.67940659681801
