Battery Charge (kWh),Battery Discharge (kWh),Battery Reserve (kWh),Expected Shortfall (kWh),Generator Production (kWh),Generator Reserve (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
2.3425128531459376,11.046519402448173,1.0802604081347043,1.959994951921244e-15,0.9348444227780591,3.4066122261454868,4.337485844531923,7.186,-1.2719747169820171e-14,1.2719747169820171e-14,33.71262965306829,1
5.088246505863447,6.918051071058734,0.7867200214454673,0.9744297987508007,0.868788023328842,4.697100512817896,4.476869465960984,9.674,-1.2538778002494659e-14,1.2538778002494659e-14,31.97431531613277,2
6.3305337416907435,5.777241230461604,0.5886534401968826,1.259709405050261,0.9758560387626747,3.632171163125679,7.231412356952961,10.884,-1.439096848251594e-14,1.439096848251594e-14,32.499943201800455,3
3.6342397741262427,9.71544504995599,0.48718299067708437,1.6361194549459503,1.1256166345652183,8.362781469360545,1.5225274099939328e-14,11.402,-1.5862471425276345e-14,1.5862471425276345e-14,26.722798189762198,4
7.4072046867837305,4.943927312258166,0.5064583302333823,1.3302081386896067,1.038424526183645,3.6391018595272167,9.341062749137782,11.327,-1.7240934019334574e-14,1.7240934019334574e-14,29.062911695561485,5
7.3285011996951654,5.057759760030642,0.5152196258552915,0.96636955033484,1.0182861274715482,3.879403702545104,8.820584670308753,10.046,-1.781600584809149e-14,1.781600584809149e-14,31.22011606324278,6
7.722483858417079,4.674863272123855,0.5700732601858736,1.4293850802715895,1.0569385668996372,3.8922142050022144,10.24906589453677,12.063,0.1437664683371875,0.1395261754424851,34.115355620221344,7
7.908430446846279,4.639064155852318,0.5906091479487422,1.36499069416159,1.0473325464930336,3.8611274351366345,12.481352201463164,14.997,1.1158027133923123,1.2377054041618911,37.221253596665605,8
7.5276720219858095,4.760794518654745,0.6429415832498114,1.3948983714785124,1.0482571253658513,4.63639653103418,17.309716806598132,22.145,2.2941108473137706,3.0666576426708043,39.84978722483011,9
2.8150781370072346,10.588825082226224,0.7081828531889851,3.5523452470865378,1.5685594359146724,17.484435475750473,1.7021821784389515e-14,24.25,2.0796974593145032,6.026830501149976,32.46472762687207,10
7.735400217319217,4.50191964996286,0.7574718973536212,1.3547552731625756,1.0381180414717552,4.771280433244326,17.564124226318576,24.779,4.109809833921009,6.023350116659589,35.53653416586061,11
7.686191376482345,4.567246329492683,0.7901555429968413,1.331861294344523,1.0260571033233075,4.764759130253645,18.177154913167456,26.121,4.559250731061698,6.707079794637591,38.499531960500796,12
6.970118213605196,5.1308942069948245,0.7305779103783345,1.9599954753277038e-15,1.0253327178477416,5.524239686183015,22.875989369469462,28.077,4.4841868426330285,7.043644585016728,40.246794766780646,13
6.88736288120309,5.299395240826578,0.7242034078658279,-5.10718776031931e-16,1.0634193225536699,5.089980174746845,25.591555158119668,31.198,3.9755450047208383,6.942117651711162,41.75536402513833,14
7.316220459502206,4.732204339281946,0.9918426487290407,1.329361290332415,1.0145744198905626,6.310536524906567,19.65717204399618,26.595,4.105523940791754,5.264925045766649,44.210179339347576,15
7.296172327109933,4.741127262299952,1.0102327259548551,1.3033804679660486,1.0601918250887414,5.185106273952091,18.78365892303383,24.584,2.8571398197950835,4.116217565550705,46.63747215091705,16
2.643611016661923,9.086782854503555,1.5010308594651454,5.778725530761291,1.9613557156532848,18.621432652532448,1.6669140441603076e-14,25.669,1.2573971024596031,2.817658619601842,40.5164589049675,17
7.606079317991662,4.663722563385362,0.9291790564575652,1.0965276821168486,1.1030004159726567,4.206354019698206,25.431670445104633,26.993,0.626346079686242,0.6593666882368877,43.31169782184349,18
7.1234489725158205,4.915718206814916,1.1541663020366113,1.3154926621349599,1.1224051141381155,3.6563988252006876,25.201267543524413,27.489,-1.9097828150976436e-14,1.9097828150976436e-14,45.40904204925934,19
6.529524813738577,5.2648374730087415,1.4013419535714637,1.455155942017649,1.1237008225110987,3.842818325568332,25.932817436122182,29.523,-1.943278844882012e-14,1.943278844882012e-14,46.61049502295269,20
6.61226298565863,5.202284904049918,1.459738988577628,1.428614940676088,1.1080710040535648,3.668581624812482,24.772791845052335,28.134,-1.966850069490452e-14,1.966850069490452e-14,47.949974200480966,21
5.878179579530806,5.550911615454623,1.6893947228871202,1.0586133513314107,1.0670647528572175,4.568356205956955,22.433810002676868,25.888,-2.0258470711657693e-14,2.0258470711657693e-14,48.26087876635334,22
5.591714845922886,5.742163137392791,2.028165383275772,1.422969795983296,1.0755568366145498,3.847468798100841,14.082354369394253,18.957,-2.1073674343599695e-14,2.1073674343599695e-14,48.11795288945693,23
5.465114204502911,5.712197475905452,2.3172307542592177,1.3206949362574976,1.0042411618289597,3.8888227459573206,4.282278294313354,8.92,-2.2947623151452207e-14,2.2947623151452207e-14,47.883223781624515,24
5.398324376170574,5.603141693560799,3.2377321742033285,1.2736112257438033,0.9327967493975708,4.513084588532755,4.516716123612686,8.92,-2.3328488089330376e-14,2.3328488089330376e-14,47.688647330103805,25
3.637198458298442,7.889306820498213,3.503940496222391,1.4214146661669522,1.023238647628511,6.382808670710297,2.2907970764977583e-14,8.92,-2.372503784039421e-14,2.372503784039421e-14,43.64914438601402,26
4.546435786613481,6.301918429885703,3.5982981783691583,1.247052031346021,0.943896918224004,3.833308662342807,3.0230511273601075,8.92,-2.3244550222964983e-14,2.3244550222964983e-14,41.98143587490541,27
