Winter,Fall,Spring,Summer
3.891376272,3.892483486,4.060634208,3.71310055
3.858637756,3.97301733,4.219408109,3.850246513
3.963242994,4.404666059,4.961969356,3.922147577
4.132282962,4.530259663,5.137053824,4.840740008
4.581515179,5.036884463,5.161052641,5.504500008
5.162331822,5.738301168,5.426296986,5.692869978
5.899239976,6.656826109,6.200015786,6.871955753
8.815176394,9.947372637,8.033416645,8.40650595
9.263618488,9.784426994,8.068966743,8.899747882
8.48467442,8.656192911,7.710740108,8.537873092
8.487606357,9.092088681,7.114797443,8.002153308
15.40057905,12.32987813,8.88547301,8.720917636
8.686948972,9.787916987,9.026922076,9.809463876
9.345073048,13.82354352,9.268428339,13.25056101
13.98699289,11.68856198,9.438550076,18.10402886
13.11970489,12.28662929,9.904921441,15.91283643
10.5067569,10.64418331,9.354557774,15.58021407
8.918261815,9.367869155,9.22444803,14.01421239
10.621929,12.39465148,11.91521833,16.10392341
14.19470429,15.44467842,15.88198101,19.83947905
16.95455871,16.8985169,19.38085197,18.51345079
20.47695293,16.47170006,18.84231053,17.04587092
17.43930468,13.68607957,14.182495,14.06639954
10.0685547,8.470248611,9.050987688,8.643647509
3.891376272,3.892483486,4.060634208,3.71310055
3.858637756,3.97301733,4.219408109,3.850246513
3.963242994,4.404666059,4.961969356,3.922147577
